date,site,who,plot,transect,segment,round,vial_number,specimen_number,gross_ID,plant,notes,insect_order,insect_family,insect_subfamily,insect_genus,insect_species,fine_ID,pollen,pinned by,pinned date,pinned notes
6/14/17,pfeiler,LX,Control,C1,2,,LX3,30040,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/14/17,pfeiler,ED,Manipulated,M1,2,,E1,30041,Other fly,Claytonia lanceolata,,Diptera,,,,,,,,,
6/14/17,pfeiler,ED,Manipulated,M1,3,,E2,30042,Small black solitary bee,Mertensia fusiformis,,Hymenoptera,Halictidae,Halictinae,Halictus,,Halictus rubicundus,,,,
6/14/17,pfeiler,ED,Manipulated,M1,3,,E3,30043,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/14/17,pfeiler,KE,Manipulated,M3,3,,K1,30044,Small black solitary bee,Mertensia fusiformis,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/14/17,pfeiler,ED,Manipulated,M3,5,,E4,30045,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/14/17,pfeiler,ED,Manipulated,M1,1,,E5,30046,Small black solitary bee,Mertensia fusiformis,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/14/17,pfeiler,ED,Manipulated,M1,1,,E6,30047,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/14/17,pfeiler,ED,Manipulated,M1,1,,E7,30048,Small black solitary bee,Mertensia fusiformis,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/14/17,pfeiler,ED,Manipulated,M1,1,,E8,30049,Small black solitary bee,Mertensia fusiformis,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/14/17,pfeiler,KE,Control,C3,2,,K2,30050,Syrphidae,Claytonia lanceolata,,Diptera,Syrphidae,,,,,,,,
6/14/17,pfeiler,ED,Control,C2,5,,E9,30051,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/14/17,pfeiler,ED,Control,C2,5,,E10,30052,Syrphidae,Claytonia lanceolata,,Diptera,Syrphidae,,,,,,,,
6/14/17,Pfeiler,LX,Control,C3,3,,,NA,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,,,,,,,,,
6/14/17,pfeiler,LX,Control,C2,3,,,NA,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,,,,,,,,,
6/14/17,pfeiler,LX,Control,C2,3,,,NA,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,,,,,,,,,
6/14/17,pfeiler,LG,Control,C1,3,,,NA,Small black solitary bee,Erythronium grandiflorum,,Hymenoptera,,,,,,,,,
6/14/17,pfeiler,LG,Control,C1,1,,,NA,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,,,,,,,,,
6/14/17,pfeiler,KE,Manipulated,M2,4,,,NA,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,,,,,,,,,
6/14/17,pfeiler,KE,Manipulated,M2,2,,,NA,Small black solitary bee,Claytonia lanceolata,,Hymenoptera,,,,,,,,,
6/14/17,pfeiler,KE,Control,C3,2,,,NA,Syrphidae,Erythronium grandiflorum,,Diptera,Syrphidae,,,,,,,,
6/15/17,Avery Picnic,ED,Control,C2,5,,E1,30053,Syrphidae,Viola praemorsa,,Diptera,Syrphidae,,,,,,,,
6/15/17,Avery Picnic,KE,Manipulated,M3,3,,K1,30054,Other fly,Taraxacum officinale,,Diptera,,,,,,,,,
6/15/17,Avery Picnic,LG,Control,C3,4,,,NA,Syrphidae,Taraxacum officinale,,Diptera,Syrphidae,,,,,,,,
6/15/17,Avery Picnic,LX,Control,C3,5,,,NA,Beetles,Taraxacum officinale,,Coleoptera,,,,,,,,,
6/15/17,Avery Picnic,ED,Manipulated,M2,3,,,NA,White butterfly,Delphinium nuttallianum,,Lepidoptera,Pieridae,Pierinae,Pieris,rapae,Pieris rapae,,,,
6/15/17,Avery Picnic,LX,Manipulated,M1,2,,,NA,Syrphidae,Androsace septentrionalis,,Diptera,Syrphidae,,,,,,,,
6/20/17,Meridian,ED,Control,C3,2,,E1,30082,Other fly,Pseudocymopterus montanus,,Diptera,,,,,,,,,
6/20/17,Meridian,ED,Control,C1,3,,E2,30083,Beetles,Pseudocymopterus montanus,,Coleoptera,Thyreocoridae,,,,Thyreocoridae,,,,
6/20/17,Meridian,ED,Control,C1,3,,E3,30084,Syrphidae,Pseudocymopterus montanus,,Diptera,Syrphidae,Eristalinae,Eristalis,,Eristalis,,,,
6/20/17,Meridian,ED,Manipulated,M2,4,,E5,30085,Other fly,Draba aurea,,Diptera,Muscidae,,,,Musc. morpho 1,,,,
6/20/17,Meridian,ED,Control,C1,3,,E4,30086,Small black solitary bee,Draba aurea,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/20/17,Meridian,CM,Control,C1,1,,C1,30087,Small black solitary bee,Pseudocymopterus montanus,,Hymenoptera,Halictidae,Halictinae,Halictus,,Halictus tripartitus,,,,
6/20/17,Meridian,CM,Control,C1,1,,C2,30088,Beetles,Pseudocymopterus montanus,,Coleoptera,Thyreocoridae,,,,Thyreocoridae,,,,
6/20/17,Meridian,CM,Control,C1,1,,C2,30089,Beetles,Pseudocymopterus montanus,,Coleoptera,Thyreocoridae,,,,Thyreocoridae,,,,
6/20/17,Meridian,LG,Control,C3,1,,LG1,30090,Other fly,Valeriana occidentalis,,Diptera,,,,,,,,,
6/20/17,Meridian,CM,Control,C1,1,,C3,30091,Beetles,Pseudocymopterus montanus,,Coleoptera,Thyreocoridae,,,,Thyreocoridae,,,,
6/20/17,Meridian,CM,Control,C3,3,,C4,30092,Syrphidae,Pseudocymopterus montanus,,Diptera,Syrphidae,Syrphinae,Sphaerophoria,,Sphaerophoria,,,,
6/20/17,Meridian,KE,Control,C2,4,,K3,30093,Small black solitary bee,Pseudocymopterus montanus,,Hymenoptera,Halictidae,Halictinae,Halictus,,Halictus tripartitus,,,,
6/20/17,Meridian,CM,Manipulated,M2,2,,C5,30094,Syrphidae,Pseudocymopterus montanus,,Diptera,Syrphidae,Eristalinae,Eristalis,,Eristalis,,,,
6/20/17,Meridian,KE,Control,C1,2,,K1,30095,Small black solitary bee,Pseudocymopterus montanus,,Hymenoptera,Halictidae,Halictinae,Halictus,,Halictus virgatellus,,,,
6/20/17,Meridian,KE,Control,C1,2,,K2,30096,Syrphidae,Pseudocymopterus montanus,,Diptera,Syrphidae,,,,,,,,
6/20/17,Meridian,KE,Control,M1,4,,K4,30097,Small black solitary bee,Pseudocymopterus montanus,,Hymenoptera,Andrenidae,Andreninae,Andrena,,Andrena,,,,
6/20/17,Meridian,KE,Manipulated,M3,4,,K5,30098,Beetles,Pseudocymopterus montanus,,Coleoptera,Thyreocoridae,,,,Thyreocoridae,,,,
6/20/17,Meridian,ED,Control,C3,2,,,NA,Syrphidae,Pseudocymopterus montanus,,Diptera,Syrphidae,,,,,,,,
6/20/17,Meridian,ED,Control,C1,4,,,NA,Ants,Pseudocymopterus montanus,,,,,,,,,,,
6/20/17,Meridian,ED,Control,C1,4,,,NA,Ants,Pseudocymopterus montanus,,,,,,,,,,,
6/20/17,Meridian,ED,Control,C1,4,,,NA,Syrphidae,Pseudocymopterus montanus,,Diptera,Syrphidae,,,,,,,,
6/20/17,Meridian,ED,Manipulated,M2,4,,,NA,Ants,Pseudocymopterus montanus,,,,,,,,,,,
6/20/17,Meridian,ED,Manipulated,M3,1,,,NA,Syrphidae,Pseudocymopterus montanus,,Diptera,Syrphidae,,,,,,,,
6/20/17,Meridian,ED,Manipulated,M3,1,,,NA,Syrphidae,Pseudocymopterus montanus,,Diptera,Syrphidae,,,,,,,,
6/20/17,Meridian,ED,Manipulated,M3,1,,,NA,Syrphidae,Pseudocymopterus montanus,,Diptera,Syrphidae,,,,,,,,
6/20/17,Meridian,LG,Control,C3,5,,,NA,Other fly,Pseudocymopterus montanus,,Diptera,,,,,,,,,
6/20/17,Meridian,LG,Control,C2,2,,,NA,Ants,Taraxacum officinale,,,,,,,,,,,
6/20/17,Meridian,LG,Control,C2,2,,,NA,Ants,Taraxacum officinale,,,,,,,,,,,
6/20/17,Meridian,LG,Control,C2,2,,,NA,Ants,Taraxacum officinale,,,,,,,,,,,
6/20/17,Meridian,LG,Control,C2,2,,,NA,Ants,Taraxacum officinale,,,,,,,,,,,
6/20/17,Meridian,LG,Control,C2,2,,,NA,Ants,Taraxacum officinale,,,,,,,,,,,
6/20/17,Meridian,LG,Control,C2,2,,,NA,Ants,Taraxacum officinale,,,,,,,,,,,
6/20/17,Meridian,LG,Control,C2,2,,,NA,Ants,Taraxacum officinale,,,,,,,,,,,
6/20/17,Meridian,LG,Control,C2,2,,,NA,Ants,Taraxacum officinale,,,,,,,,,,,
6/20/17,Meridian,LG,Control,C2,2,,,NA,Ants,Taraxacum officinale,,,,,,,,,,,
6/20/17,Meridian,CM,Control,C1,1,,,NA,Wasps,Draba aurea,,Hymenoptera,,,,,,,,,
6/20/17,Meridian,LG,Control,C2,2,,,NA,Ants,Pseudocymopterus montanus,,,,,,,,,,,
6/20/17,Meridian,CM,Control,C1,1,,,NA,Small black solitary bee,Pseudocymopterus montanus,,Hymenoptera,,,,,,,,,
6/20/17,Meridian,CM,Control,C1,1,,,NA,Small black solitary bee,Draba aurea,,Hymenoptera,,,,,,,,,
6/20/17,Meridian,CM,Control,C3,3,,,NA,Ants,Draba aurea,,,,,,,,,,,
6/20/17,Meridian,LG,Control,C2,1,,,NA,Ants,Draba aurea,,,,,,,,,,,
6/20/17,Meridian,LG,Control,C2,1,,,NA,Ants,Draba aurea,,,,,,,,,,,
6/20/17,Meridian,LG,Control,C2,1,,,NA,Ants,Draba aurea,,,,,,,,,,,
6/20/17,Meridian,LG,Control,C2,1,,,NA,Ants,Draba aurea,,,,,,,,,,,
6/20/17,Meridian,CM,Control,C3,1,,,NA,Ants,Pseudocymopterus montanus,,,,,,,,,,,
6/20/17,Meridian,CM,Control,C3,3,,,NA,Syrphidae,Pseudocymopterus montanus,,Diptera,Syrphidae,,,,,,,,
6/20/17,Meridian,CM,Control,C3,3,,,NA,Ants,Draba aurea,,,,,,,,,,,
6/20/17,Meridian,CM,Control,C3,3,,,NA,Ants,Draba aurea,,,,,,,,,,,
6/20/17,Meridian,CM,Control,C3,3,,,NA,Small black solitary bee,Pseudocymopterus montanus,,Hymenoptera,,,,,,,,,
6/20/17,Meridian,KE,Control,C2,4,,,NA,Syrphidae,Pseudocymopterus montanus,,Diptera,Syrphidae,,,,,,,,
6/20/17,Meridian,CM,Manipulated,M3,5,,,NA,Ants,Pseudocymopterus montanus,,,,,,,,,,,
6/20/17,Meridian,CM,Manipulated,M2,2,,,NA,Syrphidae,Pseudocymopterus montanus,,Diptera,Syrphidae,,,,,,,,
6/20/17,Meridian,KE,Control,C3,4,,,NA,Ants,Pseudocymopterus montanus,,,,,,,,,,,
6/20/17,Meridian,KE,Control,C3,4,,,NA,Ants,Pseudocymopterus montanus,,,,,,,,,,,
6/20/17,Meridian,KE,Control,C3,4,,,NA,Ants,Pseudocymopterus montanus,,,,,,,,,,,
6/20/17,Meridian,KE,Control,C3,4,,,NA,Ants,Pseudocymopterus montanus,,,,,,,,,,,
6/20/17,Meridian,KE,Control,C3,4,,,NA,Ants,Pseudocymopterus montanus,,,,,,,,,,,
6/20/17,Meridian,KE,Control,C3,4,,,NA,Small black solitary bee,Pseudocymopterus montanus,,Hymenoptera,,,,,,,,,
6/20/17,Meridian,KE,Control,C3,4,,,NA,Ants,Pseudocymopterus montanus,,,,,,,,,,,
6/20/17,Meridian,KE,Control,C2,4,,,NA,Syrphidae,Pseudocymopterus montanus,,Diptera,Syrphidae,,,,,,,,
6/20/17,Meridian,KE,Manipulated,M1,1,,,NA,Small black solitary bee,Draba aurea,,Hymenoptera,,,,,,,,,
6/21/17,Pfeiler,ED,Manipulated,M3,4,,E1,30099,Small black solitary bee,Pseudocymopterus montanus,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/21/17,Pfeiler,ED,Manipulated,M3,4,,E2,30100,Small black solitary bee,Pseudocymopterus montanus,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/21/17,Pfeiler,ED,Manipulated,M3,4,,E3,30101,Other fly,Mertensia fusiformis,,Diptera,,,,,,,,,
6/21/17,Pfeiler,LX,Manipulated,M2,1,,,NA,Small black solitary bee,Mertensia fusiformis,,Hymenoptera,,,,,,,,,
6/21/17,Pfeiler,ED,Manipulated,M1,2,,,NA,Syrphidae,Taraxacum officinale,,Diptera,Syrphidae,,,,,,,,
6/22/17,Avery Picnic,KE,Manipulated,M2,1,,K1,30102,Wasps,Potentilla gracilis,,Hymenoptera,,,,,,,,,
6/22/17,Avery Picnic,KE,Manipulated,M2,1,,K2,30103,Syrphidae,Potentilla gracilis,,Diptera,Syrphidae,Eristalinae,Hiatomyia,,Hiatomyia,,,,
6/22/17,Avery Picnic,ED,Manipulated,M3,1,,E3,30104,Small black solitary bee,Thalictrum fendleri,,Hymenoptera,Halictidae,Halictinae,Halictus,,Halictus rubicundus,,,,
6/22/17,Avery Picnic,KE,Manipulated,M1,5,,K3,30105,Other fly,Potentilla gracilis,,Diptera,,,,,,,,,
6/22/17,Avery Picnic,KE,Control,C3,1,,K4,30106,Other fly,Hydrophyllum fendleri,,Diptera,Muscidae,,,,Hydrotaea sp.,,,,
6/22/17,Avery Picnic,CM,Control,C1,2,,CM3,30107,Syrphidae,Pseudocymopterus montanus,,Diptera,Syrphidae,Eristalinae,Hiatomyia,,Hiatomyia,,,,
6/22/17,Avery Picnic,CM,Control,C1,2,,CM4,30108,Other fly,Pseudocymopterus montanus,,Diptera,Muscidae,,,,Hydrotaea sp.,,,,
6/22/17,Avery Picnic,ED,Control,C3,3,,E7,30109,Syrphidae,Androsace septentrionalis,,Diptera,Syrphidae,Syrphinae,Sphaerophoria,,Sphaerophoria,,,,
6/22/17,Avery Picnic,LG,Control,C2,5,,LG7,30110,Hemipteran,Valeriana occidentalis,,Hemiptera,Miridae,,,,Miridae,,,,
6/22/17,Avery Picnic,ED,Manipulated,M1,3,,E1,30111,Small black solitary bee,Potentilla gracilis,,Hymenoptera,Megachilidae,Megachilinae,Hoplitis,producta,Hoplitis producta,,,,
6/22/17,Avery Picnic,ED,Manipulated,M3,5,,E2,30112,Other fly,Potentilla gracilis,,Diptera,Muscidae,,,,Drymeia minor,,,,
6/22/17,Avery Picnic,LG,Manipulated,M2,5,,LG1,30113,Hemipteran,Ligusticum porteri,,Hemiptera,Miridae,,,,Miridae,,,,
6/22/17,Avery Picnic,LG,Manipulated,M2,5,,LG2,30114,Hemipteran,Ligusticum porteri,,Hemiptera,Miridae,,,,Miridae,,,,
6/22/17,Avery Picnic,LG,Manipulated,M2,5,,LG3,30115,Hemipteran,Ligusticum porteri,,Hemiptera,Miridae,,,,Miridae,,,,
6/22/17,Avery Picnic,CM,Control,C2,1,,CM1,30116,Small black solitary bee,Hydrophyllum fendleri,,Hymenoptera,Halictidae,Halictinae,Lasioglossum,,Lasioglossum,,,,
6/22/17,Avery Picnic,ED,Control,C2,3,,E4,30117,Syrphidae,Pseudocymopterus montanus,,Diptera,Syrphidae,Eristalinae,Hiatomyia,,Hiatomyia,,,,
6/22/17,Avery Picnic,LG,Control,C1,3,,LG4,30118,Other fly,Pseudocymopterus montanus,,Diptera,,,,,,,,,
6/22/17,Avery Picnic,CM,Control,C1,2,,CM2,30119,Syrphidae,Taraxacum officinale,,Diptera,Syrphidae,,,,,,,,
6/22/17,Avery Picnic,LG,Control,C1,3,,LG5,30120,Other fly,Pseudocymopterus montanus,,Diptera,Anthomyiidae,,,,Anthomyiidae sp.,,,,
6/22/17,Avery Picnic,ED,Control,C3,2,,E5,30121,Beetles,Taraxacum officinale,,Coleoptera,Buprestidae,,,,Buprestidae,,,,
6/22/17,Avery Picnic,ED,Control,C3,2,,E6,30122,Small metallic solitary bee,Taraxacum officinale,,Hymenoptera,Megachilidae,,Osmia,,Osmia coloradensis,,,,
6/22/17,Avery Picnic,LG,Control,C1,3,,LG6,30123,Syrphidae,Pseudocymopterus montanus,,Diptera,Syrphidae,Eristalinae,Cheilosia,,Cheilosia,,,,
6/22/17,Avery Picnic,CM,Manipulated,M2,4,,,NA,Bombus flavifrons,Delphinium nuttallianum,,Hymenoptera,Apidae,Apinae,Bombus,flavifrons,Bombus flavifrons,,,,
6/22/17,Avery Picnic,KE,Manipulated,M2,1,,,NA,Other fly,Potentilla gracilis,,Diptera,,,,,,,,,
6/22/17,Avery Picnic,ED,Manipulated,M1,1,,,NA,Syrphidae,Lathyrus leucanthus,,Diptera,Syrphidae,,,,,,,,
6/22/17,Avery Picnic,ED,Manipulated,M1,1,,,NA,Ants,Lathyrus leucanthus,,,,,,,,,,,
6/22/17,Avery Picnic,KE,Manipulated,M1,5,,,NA,Bombus flavifrons,Lathyrus leucanthus,Released,Hymenoptera,Apidae,Apinae,Bombus,flavifrons,Bombus flavifrons,,,,
